word,rank,frequency,cefr_level,sfi
anyway,892,1059254,A2,60.25
speech,893,1056818,A2,60.24
dog,894,1056818,A2,60.24
officer,895,1056818,A2,60.24
throughout,896,1056818,A2,60.24
oil,897,1051962,A2,60.22
dress,898,1049542,A2,60.21
profit,899,1049542,A2,60.21
guess,900,1047129,A2,60.2
fun,901,1047129,A2,60.2
protect,902,1047129,A2,60.2
resource,903,1044720,A2,60.19
science,904,1044720,A2,60.19
disease,905,1044720,A2,60.19
balance,906,1042317,A2,60.18
damage,907,1042317,A2,60.18
basis,908,1042317,A2,60.18
author,909,1039920,A2,60.17
basic,910,1039920,A2,60.17
encourage,911,1037528,A2,60.16
hair,912,1035142,A2,60.15
male,913,1035142,A2,60.15
operate,914,1032761,A2,60.14
reflect,915,1032761,A2,60.14
exercise,916,1030386,A2,60.13
useful,917,1028016,A2,60.12
restaurant,918,1028016,A2,60.12
income,919,1028016,A2,60.12
property,920,1028016,A2,60.12
previous,921,1028016,A2,60.12
dark,922,1025652,A2,60.11
imagine,923,1025652,A2,60.11
okay,924,1023293,A2,60.1
earn,925,1020939,A2,60.09
daughter,926,1020939,A2,60.09
post,927,1018591,A2,60.08
newspaper,928,1016249,A2,60.07
define,929,1013911,A2,60.06
conclusion,930,1011579,A2,60.05
clock,931,1011579,A2,60.05
everybody,932,1011579,A2,60.05
weekend,933,1009253,A2,60.04
perform,934,1009253,A2,60.04
professional,935,1009253,A2,60.04
mine,936,1009253,A2,60.04
debate,937,1006932,A2,60.03
memory,938,1006932,A2,60.03
green,939,1006932,A2,60.03
song,940,1004616,A2,60.02
object,941,1000000,A2,60
maintain,942,1000000,A2,60
credit,943,997700,A2,59.99
ring,944,997700,A2,59.99
discover,945,993116,A2,59.97
dead,946,990832,A2,59.96
afternoon,947,990832,A2,59.96
prefer,948,990832,A2,59.96
extend,949,988553,A2,59.95
possibility,950,988553,A2,59.95
direction,951,986279,A2,59.94
facility,952,986279,A2,59.94
variety,953,981748,A2,59.92
daily,954,979490,A2,59.91
clothes,955,979490,A2,59.91
screen,956,977237,A2,59.9
track,957,974990,A2,59.89
dance,958,974990,A2,59.89
completely,959,974990,A2,59.89
female,960,972747,A2,59.88
responsibility,961,972747,A2,59.88
original,962,963829,A2,59.84
sister,963,963829,A2,59.84
rock,964,963829,A2,59.84
dream,965,963829,A2,59.84
nor,966,959401,A2,59.82
university,967,959401,A2,59.82
easily,968,957194,A2,59.81
agency,969,957194,A2,59.81
dollar,970,954993,A2,59.8
garden,971,952796,A2,59.79
fix,972,952796,A2,59.79
ahead,973,950605,A2,59.78
cross,974,950605,A2,59.78
yeah,975,948418,A2,59.77
weight,976,941890,A2,59.74
legal,977,937562,A2,59.72
proposal,978,935406,A2,59.71
version,979,935406,A2,59.71
conversation,980,935406,A2,59.71
somebody,981,933254,A2,59.7
pound,982,931108,A2,59.69
magazine,983,931108,A2,59.69
shape,984,931108,A2,59.69
sea,985,928966,A2,59.68
immediately,986,926830,A2,59.67
welcome,987,926830,A2,59.67
smile,988,926830,A2,59.67
communication,989,926830,A2,59.67
agent,990,922571,A2,59.65
traditional,991,922571,A2,59.65
replace,992,920450,A2,59.64
judge,993,920450,A2,59.64
herself,994,918333,A2,59.63
suddenly,995,918333,A2,59.63
generation,996,918333,A2,59.63
estimate,997,918333,A2,59.63
favorite,998,916220,A2,59.62
difficulty,999,916220,A2,59.62
purchase,1000,914113,A2,59.61
shoot,1001,912011,A2,59.6
announce,1002,912011,A2,59.6
unless,1003,912011,A2,59.6
independent,1004,909913,A2,59.59
recommend,1005,907821,A2,59.58
survey,1006,907821,A2,59.58
majority,1007,907821,A2,59.58
stick,1008,905733,A2,59.57
request,1009,903649,A2,59.56
rich,1010,899498,A2,59.54
wind,1011,899498,A2,59.54
none,1012,897429,A2,59.53
exchange,1013,895365,A2,59.52
budget,1014,893305,A2,59.51
famous,1015,893305,A2,59.51
blood,1016,893305,A2,59.51
appropriate,1017,893305,A2,59.51
block,1018,893305,A2,59.51
warm,1019,891251,A2,59.5
count,1020,891251,A2,59.5
scene,1021,891251,A2,59.5
writer,1022,889201,A2,59.49
content,1023,889201,A2,59.49
prevent,1024,887156,A2,59.48
safe,1025,885116,A2,59.47
invite,1026,885116,A2,59.47
mix,1027,883080,A2,59.46
element,1028,881049,A2,59.45
effective,1029,881049,A2,59.45
correct,1030,881049,A2,59.45
medical,1031,877001,A2,59.43
admit,1032,874984,A2,59.42
beat,1033,874984,A2,59.42
telephone,1034,874984,A2,59.42
copy,1035,872971,A2,59.41
committee,1036,870964,A2,59.4
aware,1037,870964,A2,59.4
advice,1038,870964,A2,59.4
handle,1039,868960,A2,59.39
glass,1040,868960,A2,59.39
trial,1041,866962,A2,59.38
stress,1042,866962,A2,59.38
radio,1043,864968,A2,59.37
administration,1044,862979,A2,59.36
complex,1045,862979,A2,59.36
text,1046,860994,A2,59.35
context,1047,860994,A2,59.35
ride,1048,859014,A2,59.34
directly,1049,859014,A2,59.34
heavy,1050,859014,A2,59.34
remove,1051,857038,A2,59.33
conduct,1052,857038,A2,59.33
equipment,1053,857038,A2,59.33
otherwise,1054,857038,A2,59.33
title,1055,855067,A2,59.32
extra,1056,853100,A2,59.31
executive,1057,853100,A2,59.31
chair,1058,853100,A2,59.31
expensive,1059,853100,A2,59.31
sample,1060,851138,A2,59.3
sex,1061,851138,A2,59.3
deliver,1062,849180,A2,59.29
video,1063,849180,A2,59.29
connection,1064,849180,A2,59.29
primary,1065,847227,A2,59.28
weather,1066,845279,A2,59.27
collect,1067,845279,A2,59.27
inform,1068,841395,A2,59.25
principle,1069,841395,A2,59.25
straight,1070,839460,A2,59.24
appeal,1071,839460,A2,59.24
highly,1072,839460,A2,59.24
trust,1073,839460,A2,59.24
wonderful,1074,837529,A2,59.23
flat,1075,837529,A2,59.23
absolutely,1076,835603,A2,59.22
flow,1077,835603,A2,59.22
fair,1078,835603,A2,59.22
additional,1079,833681,A2,59.21
responsible,1080,833681,A2,59.21
farm,1081,831764,A2,59.2
collection,1082,831764,A2,59.2
hang,1083,829851,A2,59.19
negative,1084,827942,A2,59.18
band,1085,827942,A2,59.18
relative,1086,826038,A2,59.17
tour,1087,826038,A2,59.17
alternative,1088,826038,A2,59.17
software,1089,826038,A2,59.17
pair,1090,824138,A2,59.16
ship,1091,824138,A2,59.16
attitude,1092,820352,A2,59.14
cheap,1093,820352,A2,59.14
double,1094,820352,A2,59.14
leg,1095,818465,A2,59.13
observe,1096,818465,A2,59.13
sentence,1097,818465,A2,59.13
print,1098,816582,A2,59.12
progress,1099,816582,A2,59.12
truth,1100,814704,A2,59.11
nobody,1101,814704,A2,59.11
examine,1102,812831,A2,59.1
lay,1103,812831,A2,59.1
speed,1104,810961,A2,59.09
politics,1105,810961,A2,59.09
reply,1106,809096,A2,59.08
display,1107,809096,A2,59.08
transfer,1108,809096,A2,59.08
perfect,1109,807235,A2,59.07
slightly,1110,807235,A2,59.07
overall,1111,807235,A2,59.07
intend,1112,805378,A2,59.06
user,1113,803526,A2,59.05
respond,1114,803526,A2,59.05
dinner,1115,801678,A2,59.04
slow,1116,801678,A2,59.04
regular,1117,801678,A2,59.04
physical,1118,801678,A2,59.04
apart,1119,797995,A2,59.02
suit,1120,796159,A2,59.01
federal,1121,796159,B1,59.01
reveal,1122,796159,B1,59.01
percentage,1123,794328,B1,59
peace,1124,792501,B1,58.99
status,1125,792501,B1,58.99
crime,1126,790679,B1,58.98
decline,1127,788860,B1,58.97
decade,1128,788860,B1,58.97
launch,1129,788860,B1,58.97
warn,1130,787046,B1,58.96
consumer,1131,787046,B1,58.96
favor,1132,787046,B1,58.96
dry,1133,785236,B1,58.95
partner,1134,785236,B1,58.95
institution,1135,785236,B1,58.95
spot,1136,783430,B1,58.94
horse,1137,783430,B1,58.94
eventually,1138,781628,B1,58.93
heat,1139,781628,B1,58.93
excite,1140,779830,B1,58.92
reader,1141,779830,B1,58.92
importance,1142,778037,B1,58.91
distance,1143,776247,B1,58.9
guide,1144,776247,B1,58.9
grant,1145,776247,B1,58.9
taxi,1146,774462,B1,58.89
feed,1147,774462,B1,58.89
pain,1148,774462,B1,58.89
sector,1149,770903,B1,58.87
mistake,1150,770903,B1,58.87
ensure,1151,769130,B1,58.86
satisfy,1152,767361,B1,58.85
chief,1153,767361,B1,58.85
cool,1154,767361,B1,58.85
expert,1155,765597,B1,58.84
wave,1156,765597,B1,58.84
south,1157,765597,B1,58.84
labor,1158,763836,B1,58.83
surface,1159,763836,B1,58.83
library,1160,762079,B1,58.82
excellent,1161,760326,B1,58.81
edge,1162,760326,B1,58.81
camp,1163,760326,B1,58.81
audience,1164,758578,B1,58.8
lift,1165,758578,B1,58.8
procedure,1166,756833,B1,58.79
email,1167,756833,B1,58.79
global,1168,756833,B1,58.79
struggle,1169,756833,B1,58.79
advertise,1170,753356,B1,58.77
select,1171,751623,B1,58.76
surround,1172,749894,B1,58.75
extent,1173,748170,B1,58.74
river,1174,746449,B1,58.73
annual,1175,746449,B1,58.73
fully,1176,746449,B1,58.73
contrast,1177,744732,B1,58.72
roll,1178,743019,B1,58.71
reality,1179,743019,B1,58.71
photograph,1180,741310,B1,58.7
artist,1181,739605,B1,58.69
conflict,1182,739605,B1,58.69
entire,1183,739605,B1,58.69
presence,1184,739605,B1,58.69
crowd,1185,739605,B1,58.69
corner,1186,739605,B1,58.69
gas,1187,739605,B1,58.69
shift,1188,737904,B1,58.68
net,1189,737904,B1,58.68
category,1190,737904,B1,58.68
secretary,1191,737904,B1,58.68
defense,1192,737904,B1,58.68
quick,1193,736207,B1,58.67
cook,1194,736207,B1,58.67
spread,1195,734514,B1,58.66
nuclear,1196,734514,B1,58.66
scale,1197,734514,B1,58.66
driver,1198,734514,B1,58.66
ball,1199,732825,B1,58.65
cry,1200,731139,B1,58.64
introduction,1201,729458,B1,58.63
requirement,1202,729458,B1,58.63
north,1203,727780,B1,58.62
confirm,1204,727780,B1,58.62
senior,1205,724436,B1,58.6
photo,1206,722770,B1,58.59
refuse,1207,722770,B1,58.59
transport,1208,721107,B1,58.58
emerge,1209,721107,B1,58.58
map,1210,721107,B1,58.58
concept,1211,721107,B1,58.58
island,1212,719449,B1,58.57
reform,1213,719449,B1,58.57
neither,1214,719449,B1,58.57
football,1215,717794,B1,58.56
survive,1216,717794,B1,58.56
flight,1217,716143,B1,58.55
left,1218,716143,B1,58.55
solve,1219,714496,B1,58.54
neighbor,1220,714496,B1,58.54
background,1221,714496,B1,58.54
technique,1222,714496,B1,58.54
traffic,1223,714496,B1,58.54
improvement,1224,712853,B1,58.53
tool,1225,711214,B1,58.52
consequence,1226,711214,B1,58.52
circumstance,1227,711214,B1,58.52
smoke,1228,711214,B1,58.52
reaction,1229,711214,B1,58.52
rain,1230,711214,B1,58.52
busy,1231,709578,B1,58.51
lesson,1232,709578,B1,58.51
brain,1233,707946,B1,58.5
mass,1234,707946,B1,58.5
funny,1235,706318,B1,58.49
contribute,1236,706318,B1,58.49
failure,1237,706318,B1,58.49
schedule,1238,704693,B1,58.48
speaker,1239,704693,B1,58.48
bottom,1240,703072,B1,58.47
adopt,1241,703072,B1,58.47
combine,1242,703072,B1,58.47
mountain,1243,701455,B1,58.46
waste,1244,701455,B1,58.46
hide,1245,699842,B1,58.45
marriage,1246,699842,B1,58.45
ticket,1247,699842,B1,58.45
meal,1248,699842,B1,58.45
colleague,1249,699842,B1,58.45
bag,1250,699842,B1,58.45
repeat,1251,698232,B1,58.44
equal,1252,696627,B1,58.43
expression,1253,696627,B1,58.43
plus,1254,696627,B1,58.43
extremely,1255,696627,B1,58.43
owner,1256,695024,B1,58.42
plane,1257,695024,B1,58.42
commercial,1258,693426,B1,58.41
lady,1259,690240,B1,58.39
duty,1260,688652,B1,58.38
strength,1261,687068,B1,58.37
connect,1262,685488,B1,58.36
cultural,1263,685488,B1,58.36
arrange,1264,683912,B1,58.35
scheme,1265,683912,B1,58.35
payment,1266,682339,B1,58.34
unfortunately,1267,682339,B1,58.34
brief,1268,682339,B1,58.34
bird,1269,680769,B1,58.33
demonstrate,1270,680769,B1,58.33
contribution,1271,680769,B1,58.33
appreciate,1272,679204,B1,58.32
chapter,1273,679204,B1,58.32
secret,1274,679204,B1,58.32
apparently,1275,679204,B1,58.32
novel,1276,679204,B1,58.32
union,1277,677642,B1,58.31
burn,1278,677642,B1,58.31
trend,1279,677642,B1,58.31
initial,1280,677642,B1,58.31
pleasure,1281,676083,B1,58.3
suggestion,1282,676083,B1,58.3
critical,1283,674528,B1,58.29
gather,1284,674528,B1,58.29
mostly,1285,674528,B1,58.29
earth,1286,674528,B1,58.29
pop,1287,672977,B1,58.28
essential,1288,671429,B1,58.27
desire,1289,671429,B1,58.27
promote,1290,671429,B1,58.27
currently,1291,671429,B1,58.27
employ,1292,669885,B1,58.26
path,1293,669885,B1,58.26
topic,1294,669885,B1,58.26
beach,1295,668344,B1,58.25
attract,1296,668344,B1,58.25
engage,1297,668344,B1,58.25
powerful,1298,666807,B1,58.24
flower,1299,666807,B1,58.24
crisis,1300,666807,B1,58.24
settle,1301,665273,B1,58.23
boat,1302,665273,B1,58.23
aid,1303,665273,B1,58.23
fan,1304,665273,B1,58.23
kitchen,1305,665273,B1,58.23
twice,1306,663743,B1,58.22
fresh,1307,663743,B1,58.22
delay,1308,663743,B1,58.22
safety,1309,663743,B1,58.22
engineer,1310,663743,B1,58.22
quiet,1311,662217,B1,58.21
insurance,1312,662217,B1,58.21
nurse,1313,662217,B1,58.21
divide,1314,660693,B1,58.2
length,1315,660693,B1,58.2
investigation,1316,659174,B1,58.19
package,1317,659174,B1,58.19
somewhere,1318,659174,B1,58.19
expand,1319,657658,B1,58.18
commit,1320,657658,B1,58.18
obvious,1321,657658,B1,58.18
jump,1322,654636,B1,58.16
weapon,1323,654636,B1,58.16
relatively,1324,653131,B1,58.15
host,1325,653131,B1,58.15
winter,1326,653131,B1,58.15
district,1327,653131,B1,58.15
broad,1328,651628,B1,58.14
tire,1329,648634,B1,58.12
spring,1330,647143,B1,58.11
spirit,1331,644169,B1,58.09
lunch,1332,644169,B1,58.09
actual,1333,642688,B1,58.08
pool,1334,642688,B1,58.08
battle,1335,642688,B1,58.08
tradition,1336,642688,B1,58.08
cash,1337,641210,B1,58.07
hardly,1338,639735,B1,58.06
award,1339,639735,B1,58.06
coach,1340,639735,B1,58.06
experiment,1341,639735,B1,58.06
consideration,1342,639735,B1,58.06
strange,1343,639735,B1,58.06
code,1344,639735,B1,58.06
possibly,1345,636796,B1,58.04
threat,1346,636796,B1,58.04
accident,1347,636796,B1,58.04
impossible,1348,636796,B1,58.04
revenue,1349,636796,B1,58.04
enable,1350,636796,B1,58.04
afraid,1351,635331,B1,58.03
active,1352,635331,B1,58.03
conclude,1353,633870,B1,58.02
religious,1354,632412,B1,58.01
cancer,1355,632412,B1,58.01
convince,1356,632412,B1,58.01
vary,1357,632412,B1,58.01
environmental,1358,630957,B1,58
sun,1359,630957,B1,58
healthy,1360,629506,B1,57.99
blow,1361,628058,B1,57.98
volume,1362,626614,B1,57.97
location,1363,626614,B1,57.97
invest,1364,626614,B1,57.97
proceed,1365,626614,B1,57.97
wash,1366,626614,B1,57.97
actor,1367,625173,B1,57.96
glad,1368,625173,B1,57.96
tape,1369,625173,B1,57.96
whereas,1370,625173,B1,57.96
opposite,1371,623735,B1,57.95
stone,1372,623735,B1,57.95
sum,1373,623735,B1,57.95
murder,1374,623735,B1,57.95
monitor,1375,622300,B1,57.94
soldier,1376,622300,B1,57.94
finance,1377,622300,B1,57.94
hate,1378,620869,B1,57.93
egg,1379,620869,B1,57.93
concert,1380,619441,B1,57.92
shock,1381,619441,B1,57.92
comfortable,1382,619441,B1,57.92
usual,1383,619441,B1,57.92
carefully,1384,618016,B1,57.91
pack,1385,618016,B1,57.91
recall,1386,618016,B1,57.91
wine,1387,616595,B1,57.9
camera,1388,616595,B1,57.9
swim,1389,616595,B1,57.9
manufacture,1390,616595,B1,57.9
theater,1391,615177,B1,57.89
cycle,1392,613762,B1,57.88
coffee,1393,612350,B1,57.87
totally,1394,612350,B1,57.87
museum,1395,612350,B1,57.87
visitor,1396,612350,B1,57.87
freedom,1397,610942,B1,57.86
construction,1398,610942,B1,57.86
dear,1399,610942,B1,57.86
objective,1400,608135,B1,57.84
moreover,1401,608135,B1,57.84
onto,1402,608135,B1,57.84
historical,1403,606736,B1,57.83
oppose,1404,606736,B1,57.83
branch,1405,605341,B1,57.82
vehicle,1406,605341,B1,57.82
scientist,1407,605341,B1,57.82
route,1408,603949,B1,57.81
bind,1409,602560,B1,57.8
belong,1410,602560,B1,57.8
taste,1411,602560,B1,57.8
tonight,1412,601174,B1,57.79
fashion,1413,601174,B1,57.79
danger,1414,601174,B1,57.79
bomb,1415,601174,B1,57.79
army,1416,601174,B1,57.79
dangerous,1417,598412,B1,57.77
decrease,1418,597035,B1,57.76
hurt,1419,597035,B1,57.76
council,1420,595662,B1,57.75
editor,1421,594292,B1,57.74
normally,1422,594292,B1,57.74
sight,1423,594292,B1,57.74
generate,1424,592925,B1,57.73
gift,1425,592925,B1,57.73
delivery,1426,591562,B1,57.72
deny,1427,591562,B1,57.72
guest,1428,591562,B1,57.72
anybody,1429,590201,B1,57.71
bedroom,1430,590201,B1,57.71
quote,1431,590201,B1,57.71
climb,1432,588844,B1,57.7
basically,1433,588844,B1,57.7
violence,1434,587489,B1,57.69
minister,1435,587489,B1,57.69
mainly,1436,586138,B1,57.68
mouth,1437,586138,B1,57.68
noise,1438,586138,B1,57.68
manner,1439,584790,B1,57.67
gun,1440,584790,B1,57.67
square,1441,584790,B1,57.67
occasion,1442,582103,B1,57.65
familiar,1443,580764,B1,57.64
ignore,1444,580764,B1,57.64
destroy,1445,580764,B1,57.64
affair,1446,579429,B1,57.63
civil,1447,578096,B1,57.62
locate,1448,578096,B1,57.62
citizen,1449,578096,B1,57.62
temperature,1450,576766,B1,57.61
gold,1451,576766,B1,57.61
domestic,1452,571479,B1,57.57
load,1453,571479,B1,57.57
belief,1454,571479,B1,57.57
troop,1455,571479,B1,57.57
technical,1456,570164,B1,57.56
remind,1457,570164,B1,57.56
arrangement,1458,570164,B1,57.56
skin,1459,568853,B1,57.55
prison,1460,568853,B1,57.55
switch,1461,568853,B1,57.55
acquire,1462,567545,B1,57.54
corporate,1463,566239,B1,57.53
fairly,1464,566239,B1,57.53
wood,1465,566239,B1,57.53
participate,1466,566239,B1,57.53
tough,1467,566239,B1,57.53
tear,1468,564937,B1,57.52
representative,1469,564937,B1,57.52
capacity,1470,564937,B1,57.52
border,1471,563638,B1,57.51
shake,1472,563638,B1,57.51
assessment,1473,563638,B1,57.51
shoe,1474,563638,B1,57.51
ought,1475,562341,B1,57.5
ad,1476,562341,B1,57.5
fee,1477,561048,B1,57.49
hall,1478,561048,B1,57.49
regulation,1479,559758,B1,57.48
escape,1480,559758,B1,57.48
studio,1481,559758,B1,57.48
proper,1482,558470,B1,57.47
relax,1483,558470,B1,57.47
tourist,1484,558470,B1,57.47
component,1485,558470,B1,57.47
afford,1486,557186,B1,57.46
lawyer,1487,557186,B1,57.46
suspect,1488,555904,B1,57.45
cup,1489,555904,B1,57.45
description,1490,555904,B1,57.45
confidence,1491,554626,B1,57.44
industrial,1492,552077,B1,57.42
complain,1493,552077,B1,57.42
perspective,1494,552077,B1,57.42
error,1495,552077,B1,57.42
arrest,1496,552077,B1,57.42
assess,1497,550808,B1,57.41
register,1498,549541,B1,57.4
asset,1499,549541,B1,57.4
signal,1500,548277,B1,57.39
finger,1501,547016,B1,57.38
relevant,1502,547016,B1,57.38
explore,1503,545758,B1,57.37
leadership,1504,545758,B1,57.37
commitment,1505,544503,B1,57.36
wake,1506,544503,B1,57.36
necessarily,1507,543250,B1,57.35
bright,1508,542001,B1,57.34
frame,1509,542001,B1,57.34
slowly,1510,542001,B1,57.34
bond,1511,542001,B1,57.34
hire,1512,542001,B1,57.34
hole,1513,540754,B1,57.33
tie,1514,540754,B1,57.33
internal,1515,540754,B1,57.33
chain,1516,539511,B1,57.32
literature,1517,535797,B1,57.29
victim,1518,535797,B1,57.29
threaten,1519,534564,B1,57.28
division,1520,534564,B1,57.28
secure,1521,533335,B1,57.27
amaze,1522,533335,B1,57.27
device,1523,532108,B1,57.26
birth,1524,532108,B1,57.26
forest,1525,532108,B1,57.26
label,1526,532108,B1,57.26
root,1527,532108,B1,57.26
factory,1528,530884,B1,57.25
expense,1529,530884,B1,57.25
channel,1530,530884,B1,57.25
investigate,1531,530884,B1,57.25
recommendation,1532,529663,B1,57.24
rank,1533,528445,B1,57.23
typical,1534,528445,B1,57.23
west,1535,528445,B1,57.23
friendly,1536,528445,B1,57.23
resident,1537,528445,B1,57.23
provision,1538,528445,B1,57.23
concentrate,1539,527230,B1,57.22
plenty,1540,527230,B1,57.22
export,1541,526017,B1,57.21
entirely,1542,526017,B1,57.21
strongly,1543,526017,B1,57.21
bridge,1544,524807,B1,57.2
consist,1545,524807,B1,57.2
graduate,1546,524807,B1,57.2
brand,1547,523600,B1,57.19
moral,1548,522396,B1,57.18
insist,1549,521195,B1,57.17
combination,1550,521195,B1,57.17
abuse,1551,521195,B1,57.17
ice,1552,519996,B1,57.16
principal,1553,519996,B1,57.16
master,1554,519996,B1,57.16
definitely,1555,519996,B1,57.16
session,1556,519996,B1,57.16
grade,1557,519996,B1,57.16
nevertheless,1558,519996,B1,57.16
predict,1559,518800,B1,57.15
previously,1560,517607,B1,57.14
protection,1561,517607,B1,57.14
largely,1562,517607,B1,57.14
wed,1563,516416,B1,57.13
rent,1564,516416,B1,57.13
shot,1565,515229,B1,57.12
appearance,1566,515229,B1,57.12
reasonable,1567,515229,B1,57.12
guarantee,1568,515229,B1,57.12
till,1569,515229,B1,57.12
theme,1570,514044,B1,57.11
judgment,1571,514044,B1,57.11
odd,1572,514044,B1,57.11
approve,1573,512861,B1,57.1
loan,1574,512861,B1,57.1
definition,1575,512861,B1,57.1
elect,1576,511682,B1,57.09
atmosphere,1577,510505,B1,57.08
farmer,1578,510505,B1,57.08
comparison,1579,509331,B1,57.07
characteristic,1580,509331,B1,57.07
license,1581,509331,B1,57.07
rely,1582,509331,B1,57.07
narrow,1583,509331,B1,57.07
succeed,1584,508159,B1,57.06
identity,1585,508159,B1,57.06
desk,1586,506991,B1,57.05
permit,1587,505825,B1,57.04
seriously,1588,505825,B1,57.04
wild,1589,504661,B1,57.03
empty,1590,504661,B1,57.03
commission,1591,503501,B1,57.02
unique,1592,503501,B1,57.02
association,1593,502343,B1,57.01
instrument,1594,502343,B1,57.01
investor,1595,502343,B1,57.01
practical,1596,502343,B1,57.01
tea,1597,501187,B1,57
lovely,1598,500035,B1,56.99
soft,1599,500035,B1,56.99
row,1600,500035,B1,56.99
youth,1601,500035,B1,56.99
lock,1602,498884,B1,56.98
fuel,1603,498884,B1,56.98
expectation,1604,498884,B1,56.98
employment,1605,498884,B1,56.98
celebrate,1606,497737,B1,56.97
sexual,1607,497737,B1,56.97
shoulder,1608,496592,B1,56.96
breath,1609,496592,B1,56.96
increasingly,1610,496592,B1,56.96
import,1611,495450,B1,56.95
bottle,1612,495450,B1,56.95
ourselves,1613,495450,B1,56.95
sheet,1614,494311,B1,56.94
engine,1615,494311,B1,56.94
cast,1616,493174,B1,56.93
notion,1617,493174,B1,56.93
conservative,1618,493174,B1,56.93
journey,1619,492040,B1,56.92
opposition,1620,492040,B1,56.92
relief,1621,492040,B1,56.92
debt,1622,492040,B1,56.92
honor,1623,490908,B1,56.91
outcome,1624,488652,B1,56.89
blame,1625,488652,B1,56.89
explanation,1626,488652,B1,56.89
arise,1627,488652,B1,56.89
musical,1628,487528,B1,56.88
recover,1629,486407,B1,56.87
dad,1630,486407,B1,56.87
stretch,1631,486407,B1,56.87
declare,1632,485289,B1,56.86
retire,1633,485289,B1,56.86
tiny,1634,484172,B1,56.85
careful,1635,483059,B1,56.84
suitable,1636,483059,B1,56.84
native,1637,483059,B1,56.84
fruit,1638,483059,B1,56.84
analyze,1639,481948,B1,56.83
witness,1640,481948,B1,56.83
mail,1641,481948,B1,56.83
terrible,1642,481948,B1,56.83
researcher,1643,480839,B1,56.82
ordinary,1644,478630,B1,56.8
selection,1645,476431,B1,56.78
anywhere,1646,476431,B1,56.78
mental,1647,476431,B1,56.78
participant,1648,475335,B1,56.77
vision,1649,474242,B1,56.76
personality,1650,474242,B1,56.76
specifically,1651,474242,B1,56.76
fat,1652,473151,B1,56.75
entry,1653,473151,B1,56.75
fellow,1654,473151,B1,56.75
chemical,1655,473151,B1,56.75
capture,1656,473151,B1,56.75
tip,1657,472063,B1,56.74
discount,1658,472063,B1,56.74
peak,1659,472063,B1,56.74
chairman,1660,470977,B1,56.73
proportion,1661,470977,B1,56.73
ear,1662,469894,B1,56.72
disappear,1663,468813,B1,56.71
shout,1664,468813,B1,56.71
yard,1665,468813,B1,56.71
constant,1666,468813,B1,56.71
significantly,1667,466659,B1,56.69
hill,1668,464515,B1,56.67
considerable,1669,464515,B1,56.67
instruction,1670,464515,B1,56.67
intelligence,1671,464515,B1,56.67
ideal,1672,463447,B1,56.66
folk,1673,463447,B1,56.66
surely,1674,463447,B1,56.66
guard,1675,463447,B1,56.66
cat,1676,462381,B1,56.65
somewhat,1677,462381,B1,56.65
kiss,1678,461318,B1,56.64
presentation,1679,461318,B1,56.64
joint,1680,461318,B1,56.64
compete,1681,461318,B2,56.64
poll,1682,461318,B2,56.64
weak,1683,460257,B2,56.63
faith,1684,460257,B2,56.63
reduction,1685,459198,B2,56.62
reserve,1686,458142,B2,56.61
complaint,1687,458142,B2,56.61
bore,1688,457088,B2,56.6
mission,1689,457088,B2,56.6
somehow,1690,456037,B2,56.59
tone,1691,456037,B2,56.59
neighborhood,1692,456037,B2,56.59
passenger,1693,456037,B2,56.59
justice,1694,454988,B2,56.58
phase,1695,454988,B2,56.58
thin,1696,454988,B2,56.58
rush,1697,454988,B2,56.58
formal,1698,453942,B2,56.57
religion,1699,453942,B2,56.57
employer,1700,453942,B2,56.57
reject,1701,452898,B2,56.56
latter,1702,452898,B2,56.56
plate,1703,452898,B2,56.56
ban,1704,451856,B2,56.55
steal,1705,451856,B2,56.55
protest,1706,451856,B2,56.55
index,1707,451856,B2,56.55
sad,1708,450817,B2,56.54
frequently,1709,450817,B2,56.54
circle,1710,450817,B2,56.54
helpful,1711,449780,B2,56.53
command,1712,449780,B2,56.53
attractive,1713,448745,B2,56.52
sick,1714,448745,B2,56.52
impression,1715,447713,B2,56.51
unable,1716,447713,B2,56.51
joke,1717,447713,B2,56.51
sky,1718,447713,B2,56.51
column,1719,447713,B2,56.51
electronic,1720,447713,B2,56.51
impose,1721,446684,B2,56.5
criminal,1722,445656,B2,56.49
besides,1723,443609,B2,56.47
properly,1724,442588,B2,56.46
ancient,1725,442588,B2,56.46
coast,1726,441570,B2,56.45
ill,1727,441570,B2,56.45
kick,1728,441570,B2,56.45
closely,1729,441570,B2,56.45
multiple,1730,441570,B2,56.45
yield,1731,440555,B2,56.44
via,1732,440555,B2,56.44
legislation,1733,440555,B2,56.44
county,1734,439542,B2,56.43
unlike,1735,438531,B2,56.42
mobile,1736,438531,B2,56.42
assistant,1737,438531,B2,56.42
implement,1738,437522,B2,56.41
chart,1739,437522,B2,56.41
attach,1740,436516,B2,56.4
hell,1741,436516,B2,56.4
everywhere,1742,435512,B2,56.39
advise,1743,435512,B2,56.39
household,1744,435512,B2,56.39
acknowledge,1745,435512,B2,56.39
reward,1746,434510,B2,56.38
east,1747,434510,B2,56.38
hat,1748,434510,B2,56.38
academic,1749,433511,B2,56.37
voter,1750,433511,B2,56.37
meanwhile,1751,432514,B2,56.36
furthermore,1752,432514,B2,56.36
accuse,1753,432514,B2,56.36
