word,sfi,wordlist
officer,60.24,1 - NGSL,
throughout,60.24,1 - NGSL,
oil,60.22,1 - NGSL,
dress,60.21,1 - NGSL,
profit,60.21,1 - NGSL,
guess,60.20,1 - NGSL,
fun,60.20,1 - NGSL,
protect,60.20,1 - NGSL,
resource,60.19,1 - NGSL,
science,60.19,1 - NGSL,
disease,60.19,1 - NGSL,
balance,60.18,1 - NGSL,
damage,60.18,1 - NGSL,
basis,60.18,1 - NGSL,
author,60.17,1 - NGSL,
basic,60.17,1 - NGSL,
encourage,60.16,1 - NGSL,
hair,60.15,1 - NGSL,
male,60.15,1 - NGSL,
operate,60.14,1 - NGSL,
reflect,60.14,1 - NGSL,
exercise,60.13,1 - NGSL,
useful,60.12,1 - NGSL,
restaurant,60.12,1 - NGSL,
income,60.12,1 - NGSL,
property,60.12,1 - NGSL,
previous,60.12,1 - NGSL,
dark,60.11,1 - NGSL,
imagine,60.11,1 - NGSL,
okay,60.10,1 - NGSL,
earn,60.09,1 - NGSL,
daughter,60.09,1 - NGSL,
post,60.08,1 - NGSL,
newspaper,60.07,1 - NGSL,
define,60.06,1 - NGSL,
conclusion,60.05,1 - NGSL,
clock,60.05,1 - NGSL,
everybody,60.05,1 - NGSL,
weekend,60.04,1 - NGSL,
perform,60.04,1 - NGSL,
professional,60.04,1 - NGSL,
mine,60.04,1 - NGSL,
debate,60.03,1 - NGSL,
memory,60.03,1 - NGSL,
green,60.03,1 - NGSL,
song,60.02,1 - NGSL,
object,60.00,1 - NGSL,
maintain,60.00,1 - NGSL,
credit,59.99,1 - NGSL,
ring,59.99,1 - NGSL,
discover,59.97,1 - NGSL,
dead,59.96,1 - NGSL,
afternoon,59.96,1 - NGSL,
prefer,59.96,1 - NGSL,
extend,59.95,1 - NGSL,
possibility,59.95,1 - NGSL,
direction,59.94,1 - NGSL,
facility,59.94,1 - NGSL,
variety,59.92,1 - NGSL,
daily,59.91,1 - NGSL,
clothes,59.91,1 - NGSL,
screen,59.90,1 - NGSL,
track,59.89,1 - NGSL,
dance,59.89,1 - NGSL,
completely,59.89,1 - NGSL,
female,59.88,1 - NGSL,
responsibility,59.88,1 - NGSL,
original,59.84,1 - NGSL,
sister,59.84,1 - NGSL,
rock,59.84,1 - NGSL,
dream,59.84,1 - NGSL,
nor,59.82,1 - NGSL,
university,59.82,1 - NGSL,
easily,59.81,1 - NGSL,
agency,59.81,1 - NGSL,
dollar,59.80,1 - NGSL,
garden,59.79,1 - NGSL,
fix,59.79,1 - NGSL,
ahead,59.78,1 - NGSL,
cross,59.78,1 - NGSL,
yeah,59.77,1 - NGSL,
weight,59.74,1 - NGSL,
legal,59.72,1 - NGSL,
proposal,59.71,1 - NGSL,
version,59.71,1 - NGSL,
conversation,59.71,1 - NGSL,
somebody,59.70,1 - NGSL,
pound,59.69,1 - NGSL,
magazine,59.69,1 - NGSL,
shape,59.69,1 - NGSL,
sea,59.68,1 - NGSL,
immediately,59.67,1 - NGSL,
welcome,59.67,1 - NGSL,
smile,59.67,1 - NGSL,
communication,59.67,1 - NGSL,
agent,59.65,1 - NGSL,
traditional,59.65,1 - NGSL,
replace,59.64,1 - NGSL,
judge,59.64,1 - NGSL,
herself,59.63,1 - NGSL,
suddenly,59.63,1 - NGSL,
generation,59.63,1 - NGSL,
estimate,59.63,1 - NGSL,
favorite,59.62,1 - NGSL,
difficulty,59.62,1 - NGSL,
purchase,59.61,1 - NGSL,
shoot,59.60,1 - NGSL,
announce,59.60,1 - NGSL,
unless,59.60,1 - NGSL,
independent,59.59,1 - NGSL,
recommend,59.58,1 - NGSL,
survey,59.58,1 - NGSL,
majority,59.58,1 - NGSL,
stick,59.57,1 - NGSL,
request,59.56,1 - NGSL,
rich,59.54,1 - NGSL,
wind,59.54,1 - NGSL,
none,59.53,1 - NGSL,
exchange,59.52,1 - NGSL,
budget,59.51,1 - NGSL,
famous,59.51,1 - NGSL,
blood,59.51,1 - NGSL,
appropriate,59.51,1 - NGSL,
block,59.51,1 - NGSL,
warm,59.50,1 - NGSL,
count,59.50,1 - NGSL,
scene,59.50,1 - NGSL,
writer,59.49,1 - NGSL,
content,59.49,1 - NGSL,
prevent,59.48,1 - NGSL,
safe,59.47,1 - NGSL,
invite,59.47,1 - NGSL,
mix,59.46,1 - NGSL,
element,59.45,1 - NGSL,
effective,59.45,1 - NGSL,
correct,59.45,1 - NGSL,
medical,59.43,1 - NGSL,
admit,59.42,1 - NGSL,
beat,59.42,1 - NGSL,
telephone,59.42,1 - NGSL,
copy,59.41,1 - NGSL,
committee,59.40,1 - NGSL,
aware,59.40,1 - NGSL,
advice,59.40,1 - NGSL,
handle,59.39,1 - NGSL,
glass,59.39,1 - NGSL,
trial,59.38,1 - NGSL,
stress,59.38,1 - NGSL,
radio,59.37,1 - NGSL,
administration,59.36,1 - NGSL,
complex,59.36,1 - NGSL,
text,59.35,1 - NGSL,
context,59.35,1 - NGSL,
ride,59.34,1 - NGSL,
directly,59.34,1 - NGSL,
heavy,59.34,1 - NGSL,
remove,59.33,1 - NGSL,
conduct,59.33,1 - NGSL,
equipment,59.33,1 - NGSL,
otherwise,59.33,1 - NGSL,
title,59.32,1 - NGSL,
extra,59.31,1 - NGSL,
executive,59.31,1 - NGSL,
chair,59.31,1 - NGSL,
expensive,59.31,1 - NGSL,
sample,59.30,1 - NGSL,
sex,59.30,1 - NGSL,
deliver,59.29,1 - NGSL,
video,59.29,1 - NGSL,
connection,59.29,1 - NGSL,
primary,59.28,1 - NGSL,
weather,59.27,1 - NGSL,
collect,59.27,1 - NGSL,
inform,59.25,1 - NGSL,
principle,59.25,1 - NGSL,
straight,59.24,1 - NGSL,
appeal,59.24,1 - NGSL,
highly,59.24,1 - NGSL,
trust,59.24,1 - NGSL,
wonderful,59.23,1 - NGSL,
flat,59.23,1 - NGSL,
absolutely,59.22,1 - NGSL,
flow,59.22,1 - NGSL,
fair,59.22,1 - NGSL,
additional,59.21,1 - NGSL,
responsible,59.21,1 - NGSL,
farm,59.20,1 - NGSL,
collection,59.20,1 - NGSL,
hang,59.19,1 - NGSL,
negative,59.18,1 - NGSL,
band,59.18,1 - NGSL,
relative,59.17,1 - NGSL,
tour,59.17,1 - NGSL,
alternative,59.17,1 - NGSL,
software,59.17,1 - NGSL,
pair,59.16,1 - NGSL,
ship,59.16,1 - NGSL,
attitude,59.14,1 - NGSL,
cheap,59.14,1 - NGSL,
double,59.14,1 - NGSL,
leg,59.13,1 - NGSL,
observe,59.13,1 - NGSL,
sentence,59.13,1 - NGSL,
print,59.12,1 - NGSL,
progress,59.12,1 - NGSL,
truth,59.11,1 - NGSL,
nobody,59.11,1 - NGSL,
examine,59.10,1 - NGSL,
lay,59.10,1 - NGSL,
speed,59.09,1 - NGSL,
politics,59.09,1 - NGSL,
reply,59.08,1 - NGSL,
display,59.08,1 - NGSL,
transfer,59.08,1 - NGSL,
perfect,59.07,1 - NGSL,
slightly,59.07,1 - NGSL,
overall,59.07,1 - NGSL,
intend,59.06,1 - NGSL,
user,59.05,1 - NGSL,
respond,59.05,1 - NGSL,
dinner,59.04,1 - NGSL,
slow,59.04,1 - NGSL,
regular,59.04,1 - NGSL,
physical,59.04,1 - NGSL,
apart,59.02,1 - NGSL,
suit,59.01,1 - NGSL,
federal,59.01,1 - NGSL,
reveal,59.01,1 - NGSL,
percentage,59.00,1 - NGSL,
peace,58.99,1 - NGSL,
status,58.99,1 - NGSL,
crime,58.98,1 - NGSL,
decline,58.97,1 - NGSL,
decade,58.97,1 - NGSL,
launch,58.97,1 - NGSL,
warn,58.96,1 - NGSL,
consumer,58.96,1 - NGSL,
favor,58.96,1 - NGSL,
dry,58.95,1 - NGSL,
partner,58.95,1 - NGSL,
institution,58.95,1 - NGSL,
spot,58.94,1 - NGSL,
horse,58.94,1 - NGSL,
eventually,58.93,1 - NGSL,
heat,58.93,1 - NGSL,
excite,58.92,1 - NGSL,
reader,58.92,1 - NGSL,
importance,58.91,1 - NGSL,
distance,58.90,1 - NGSL,
guide,58.90,1 - NGSL,
grant,58.90,1 - NGSL,
taxi,58.89,1 - NGSL,
feed,58.89,1 - NGSL,
pain,58.89,1 - NGSL,
sector,58.87,1 - NGSL,
mistake,58.87,1 - NGSL,
ensure,58.86,1 - NGSL,
satisfy,58.85,1 - NGSL,
chief,58.85,1 - NGSL,
cool,58.85,1 - NGSL,
expert,58.84,1 - NGSL,
wave,58.84,1 - NGSL,
south,58.84,1 - NGSL,
labor,58.83,1 - NGSL,
surface,58.83,1 - NGSL,
library,58.82,1 - NGSL,
excellent,58.81,1 - NGSL,
edge,58.81,1 - NGSL,
camp,58.81,1 - NGSL,
audience,58.80,1 - NGSL,
lift,58.80,1 - NGSL,
procedure,58.79,1 - NGSL,
email,58.79,1 - NGSL,
global,58.79,1 - NGSL,
struggle,58.79,1 - NGSL,
advertise,58.77,1 - NGSL,
select,58.76,1 - NGSL,
surround,58.75,1 - NGSL,
extent,58.74,1 - NGSL,
river,58.73,1 - NGSL,
annual,58.73,1 - NGSL,
fully,58.73,1 - NGSL,
contrast,58.72,1 - NGSL,
roll,58.71,1 - NGSL,
reality,58.71,1 - NGSL,
photograph,58.70,1 - NGSL,
artist,58.69,1 - NGSL,
conflict,58.69,1 - NGSL,
entire,58.69,1 - NGSL,
presence,58.69,1 - NGSL,
crowd,58.69,1 - NGSL,
corner,58.69,1 - NGSL,
gas,58.69,1 - NGSL,
shift,58.68,1 - NGSL,
net,58.68,1 - NGSL,
category,58.68,1 - NGSL,
secretary,58.68,1 - NGSL,
defense,58.68,1 - NGSL,
quick,58.67,1 - NGSL,
cook,58.67,1 - NGSL,
spread,58.66,1 - NGSL,
nuclear,58.66,1 - NGSL,
scale,58.66,1 - NGSL,
driver,58.66,1 - NGSL,
ball,58.65,1 - NGSL,
cry,58.64,1 - NGSL,
introduction,58.63,1 - NGSL,
requirement,58.63,1 - NGSL,
north,58.62,1 - NGSL,
confirm,58.62,1 - NGSL,
senior,58.60,1 - NGSL,
photo,58.59,1 - NGSL,
refuse,58.59,1 - NGSL,
transport,58.58,1 - NGSL,
emerge,58.58,1 - NGSL,
map,58.58,1 - NGSL,
concept,58.58,1 - NGSL,
island,58.57,1 - NGSL,
reform,58.57,1 - NGSL,
neither,58.57,1 - NGSL,
football,58.56,1 - NGSL,
survive,58.56,1 - NGSL,
flight,58.55,1 - NGSL,
left,58.55,1 - NGSL,
solve,58.54,1 - NGSL,
neighbor,58.54,1 - NGSL,
background,58.54,1 - NGSL,
technique,58.54,1 - NGSL,
traffic,58.54,1 - NGSL,
improvement,58.53,1 - NGSL,
tool,58.52,1 - NGSL,
consequence,58.52,1 - NGSL,
circumstance,58.52,1 - NGSL,
smoke,58.52,1 - NGSL,
reaction,58.52,1 - NGSL,
rain,58.52,1 - NGSL,
busy,58.51,1 - NGSL,
lesson,58.51,1 - NGSL,
brain,58.50,1 - NGSL,
mass,58.50,1 - NGSL,
funny,58.49,1 - NGSL,
contribute,58.49,1 - NGSL,
failure,58.49,1 - NGSL,
schedule,58.48,1 - NGSL,
speaker,58.48,1 - NGSL,
bottom,58.47,1 - NGSL,
adopt,58.47,1 - NGSL,
combine,58.47,1 - NGSL,
mountain,58.46,1 - NGSL,
waste,58.46,1 - NGSL,
hide,58.45,1 - NGSL,
marriage,58.45,1 - NGSL,
ticket,58.45,1 - NGSL,
meal,58.45,1 - NGSL,
colleague,58.45,1 - NGSL,
bag,58.45,1 - NGSL,
repeat,58.44,1 - NGSL,
equal,58.43,1 - NGSL,
expression,58.43,1 - NGSL,
plus,58.43,1 - NGSL,
extremely,58.43,1 - NGSL,
owner,58.42,1 - NGSL,
plane,58.42,1 - NGSL,
commercial,58.41,1 - NGSL,
lady,58.39,1 - NGSL,
duty,58.38,1 - NGSL,
strength,58.37,1 - NGSL,
connect,58.36,1 - NGSL,
cultural,58.36,1 - NGSL,
arrange,58.35,1 - NGSL,
scheme,58.35,1 - NGSL,
payment,58.34,1 - NGSL,
unfortunately,58.34,1 - NGSL,
brief,58.34,1 - NGSL,
bird,58.33,1 - NGSL,
demonstrate,58.33,1 - NGSL,
contribution,58.33,1 - NGSL,
appreciate,58.32,1 - NGSL,
chapter,58.32,1 - NGSL,
secret,58.32,1 - NGSL,
apparently,58.32,1 - NGSL,
novel,58.32,1 - NGSL,
union,58.31,1 - NGSL,
burn,58.31,1 - NGSL,
trend,58.31,1 - NGSL,
initial,58.31,1 - NGSL,
pleasure,58.30,1 - NGSL,
suggestion,58.30,1 - NGSL,
critical,58.29,1 - NGSL,
gather,58.29,1 - NGSL,
mostly,58.29,1 - NGSL,
earth,58.29,1 - NGSL,
pop,58.28,1 - NGSL,
essential,58.27,1 - NGSL,
desire,58.27,1 - NGSL,
promote,58.27,1 - NGSL,
currently,58.27,1 - NGSL,
employ,58.26,1 - NGSL,
path,58.26,1 - NGSL,
topic,58.26,1 - NGSL,
beach,58.25,1 - NGSL,
attract,58.25,1 - NGSL,
engage,58.25,1 - NGSL,
powerful,58.24,1 - NGSL,
flower,58.24,1 - NGSL,
crisis,58.24,1 - NGSL,
settle,58.23,1 - NGSL,
boat,58.23,1 - NGSL,
aid,58.23,1 - NGSL,
fan,58.23,1 - NGSL,
kitchen,58.23,1 - NGSL,
twice,58.22,1 - NGSL,
fresh,58.22,1 - NGSL,
delay,58.22,1 - NGSL,
safety,58.22,1 - NGSL,
engineer,58.22,1 - NGSL,
quiet,58.21,1 - NGSL,
insurance,58.21,1 - NGSL,
nurse,58.21,1 - NGSL,
divide,58.20,1 - NGSL,
length,58.20,1 - NGSL,
investigation,58.19,1 - NGSL,
package,58.19,1 - NGSL,
somewhere,58.19,1 - NGSL,
expand,58.18,1 - NGSL,
commit,58.18,1 - NGSL,
obvious,58.18,1 - NGSL,
jump,58.16,1 - NGSL,
weapon,58.16,1 - NGSL,
relatively,58.15,1 - NGSL,
host,58.15,1 - NGSL,
winter,58.15,1 - NGSL,
district,58.15,1 - NGSL,
broad,58.14,1 - NGSL,
tire,58.12,1 - NGSL,
spring,58.11,1 - NGSL,
spirit,58.09,1 - NGSL,
lunch,58.09,1 - NGSL,
actual,58.08,1 - NGSL,
pool,58.08,1 - NGSL,
battle,58.08,1 - NGSL,
tradition,58.08,1 - NGSL,
cash,58.07,1 - NGSL,
hardly,58.06,1 - NGSL,
award,58.06,1 - NGSL,
coach,58.06,1 - NGSL,
experiment,58.06,1 - NGSL,
consideration,58.06,1 - NGSL,
strange,58.06,1 - NGSL,
code,58.06,1 - NGSL,
possibly,58.04,1 - NGSL,
threat,58.04,1 - NGSL,
accident,58.04,1 - NGSL,
impossible,58.04,1 - NGSL,
revenue,58.04,1 - NGSL,
enable,58.04,1 - NGSL,
afraid,58.03,1 - NGSL,
active,58.03,1 - NGSL,
conclude,58.02,1 - NGSL,
religious,58.01,1 - NGSL,
cancer,58.01,1 - NGSL,
convince,58.01,1 - NGSL,
vary,58.01,1 - NGSL,
environmental,58.00,1 - NGSL,
sun,58.00,1 - NGSL,
healthy,57.99,1 - NGSL,
blow,57.98,1 - NGSL,
volume,57.97,1 - NGSL,
location,57.97,1 - NGSL,
invest,57.97,1 - NGSL,
proceed,57.97,1 - NGSL,
wash,57.97,1 - NGSL,
actor,57.96,1 - NGSL,
glad,57.96,1 - NGSL,
tape,57.96,1 - NGSL,
whereas,57.96,1 - NGSL,
opposite,57.95,1 - NGSL,
stone,57.95,1 - NGSL,
sum,57.95,1 - NGSL,
murder,57.95,1 - NGSL,
monitor,57.94,1 - NGSL,
soldier,57.94,1 - NGSL,
finance,57.94,1 - NGSL,
hate,57.93,1 - NGSL,
egg,57.93,1 - NGSL,
concert,57.92,1 - NGSL,
shock,57.92,1 - NGSL,
comfortable,57.92,1 - NGSL,
usual,57.92,1 - NGSL,
carefully,57.91,1 - NGSL,
pack,57.91,1 - NGSL,
recall,57.91,1 - NGSL,
wine,57.90,1 - NGSL,
camera,57.90,1 - NGSL,
swim,57.90,1 - NGSL,
manufacture,57.90,1 - NGSL,
theater,57.89,1 - NGSL,
cycle,57.88,1 - NGSL,
coffee,57.87,1 - NGSL,
totally,57.87,1 - NGSL,
museum,57.87,1 - NGSL,
visitor,57.87,1 - NGSL,
freedom,57.86,1 - NGSL,
construction,57.86,1 - NGSL,
dear,57.86,1 - NGSL,
objective,57.84,1 - NGSL,
moreover,57.84,1 - NGSL,
onto,57.84,1 - NGSL,
historical,57.83,1 - NGSL,
oppose,57.83,1 - NGSL,
branch,57.82,1 - NGSL,
vehicle,57.82,1 - NGSL,
scientist,57.82,1 - NGSL,
route,57.81,1 - NGSL,
bind,57.80,1 - NGSL,
belong,57.80,1 - NGSL,
taste,57.80,1 - NGSL,
tonight,57.79,1 - NGSL,
fashion,57.79,1 - NGSL,
danger,57.79,1 - NGSL,
bomb,57.79,1 - NGSL,
army,57.79,1 - NGSL,
dangerous,57.77,1 - NGSL,
decrease,57.76,1 - NGSL,
hurt,57.76,1 - NGSL,
council,57.75,1 - NGSL,
editor,57.74,1 - NGSL,
normally,57.74,1 - NGSL,
sight,57.74,1 - NGSL,
generate,57.73,1 - NGSL,
gift,57.73,1 - NGSL,
delivery,57.72,1 - NGSL,
deny,57.72,1 - NGSL,
guest,57.72,1 - NGSL,
anybody,57.71,1 - NGSL,
bedroom,57.71,1 - NGSL,
quote,57.71,1 - NGSL,
climb,57.70,1 - NGSL,
basically,57.70,1 - NGSL,
violence,57.69,1 - NGSL,
minister,57.69,1 - NGSL,
mainly,57.68,1 - NGSL,
mouth,57.68,1 - NGSL,
noise,57.68,1 - NGSL,
manner,57.67,1 - NGSL,
gun,57.67,1 - NGSL,
square,57.67,1 - NGSL,
occasion,57.65,1 - NGSL,
familiar,57.64,1 - NGSL,
ignore,57.64,1 - NGSL,
destroy,57.64,1 - NGSL,
affair,57.63,1 - NGSL,
civil,57.62,1 - NGSL,
locate,57.62,1 - NGSL,
citizen,57.62,1 - NGSL,
temperature,57.61,1 - NGSL,
gold,57.61,1 - NGSL,
domestic,57.57,1 - NGSL,
load,57.57,1 - NGSL,
belief,57.57,1 - NGSL,
troop,57.57,1 - NGSL,
technical,57.56,1 - NGSL,
remind,57.56,1 - NGSL,
arrangement,57.56,1 - NGSL,
skin,57.55,1 - NGSL,
prison,57.55,1 - NGSL,
switch,57.55,1 - NGSL,
acquire,57.54,1 - NGSL,
corporate,57.53,1 - NGSL,
fairly,57.53,1 - NGSL,
wood,57.53,1 - NGSL,
participate,57.53,1 - NGSL,
tough,57.53,1 - NGSL,
tear,57.52,1 - NGSL,
representative,57.52,1 - NGSL,
capacity,57.52,1 - NGSL,
border,57.51,1 - NGSL,
shake,57.51,1 - NGSL,
assessment,57.51,1 - NGSL,
shoe,57.51,1 - NGSL,
ought,57.50,1 - NGSL,
ad,57.50,1 - NGSL,
fee,57.49,1 - NGSL,
hall,57.49,1 - NGSL,
regulation,57.48,1 - NGSL,
escape,57.48,1 - NGSL,
studio,57.48,1 - NGSL,
proper,57.47,1 - NGSL,
relax,57.47,1 - NGSL,
tourist,57.47,1 - NGSL,
component,57.47,1 - NGSL,
afford,57.46,1 - NGSL,
lawyer,57.46,1 - NGSL,
suspect,57.45,1 - NGSL,
cup,57.45,1 - NGSL,
description,57.45,1 - NGSL,
confidence,57.44,1 - NGSL,
industrial,57.42,1 - NGSL,
complain,57.42,1 - NGSL,
perspective,57.42,1 - NGSL,
error,57.42,1 - NGSL,
arrest,57.42,1 - NGSL,
assess,57.41,1 - NGSL,
register,57.40,1 - NGSL,
asset,57.40,1 - NGSL,
signal,57.39,1 - NGSL,
finger,57.38,1 - NGSL,
relevant,57.38,1 - NGSL,
explore,57.37,1 - NGSL,
leadership,57.37,1 - NGSL,
commitment,57.36,1 - NGSL,
wake,57.36,1 - NGSL,
necessarily,57.35,1 - NGSL,
bright,57.34,1 - NGSL,
frame,57.34,1 - NGSL,
slowly,57.34,1 - NGSL,
bond,57.34,1 - NGSL,
hire,57.34,1 - NGSL,
hole,57.33,1 - NGSL,
tie,57.33,1 - NGSL,
internal,57.33,1 - NGSL,
chain,57.32,1 - NGSL,
literature,57.29,1 - NGSL,
victim,57.29,1 - NGSL,
threaten,57.28,1 - NGSL,
division,57.28,1 - NGSL,
secure,57.27,1 - NGSL,
amaze,57.27,1 - NGSL,
device,57.26,1 - NGSL,
birth,57.26,1 - NGSL,
forest,57.26,1 - NGSL,
label,57.26,1 - NGSL,
root,57.26,1 - NGSL,
factory,57.25,1 - NGSL,
expense,57.25,1 - NGSL,
channel,57.25,1 - NGSL,
investigate,57.25,1 - NGSL,
recommendation,57.24,1 - NGSL,
rank,57.23,1 - NGSL,
typical,57.23,1 - NGSL,
west,57.23,1 - NGSL,
friendly,57.23,1 - NGSL,
resident,57.23,1 - NGSL,
provision,57.23,1 - NGSL,
concentrate,57.22,1 - NGSL,
plenty,57.22,1 - NGSL,
export,57.21,1 - NGSL,
entirely,57.21,1 - NGSL,
strongly,57.21,1 - NGSL,
bridge,57.20,1 - NGSL,
consist,57.20,1 - NGSL,
graduate,57.20,1 - NGSL,
brand,57.19,1 - NGSL,
moral,57.18,1 - NGSL,
insist,57.17,1 - NGSL,
combination,57.17,1 - NGSL,
abuse,57.17,1 - NGSL,
ice,57.16,1 - NGSL,
principal,57.16,1 - NGSL,
master,57.16,1 - NGSL,
definitely,57.16,1 - NGSL,
session,57.16,1 - NGSL,
grade,57.16,1 - NGSL,
nevertheless,57.16,1 - NGSL,
predict,57.15,1 - NGSL,
previously,57.14,1 - NGSL,
protection,57.14,1 - NGSL,
largely,57.14,1 - NGSL,
wed,57.13,1 - NGSL,
rent,57.13,1 - NGSL,
shot,57.12,1 - NGSL,
appearance,57.12,1 - NGSL,
reasonable,57.12,1 - NGSL,
guarantee,57.12,1 - NGSL,
till,57.12,1 - NGSL,
theme,57.11,1 - NGSL,
judgment,57.11,1 - NGSL,
odd,57.11,1 - NGSL,
approve,57.10,1 - NGSL,
loan,57.10,1 - NGSL,
definition,57.10,1 - NGSL,
elect,57.09,1 - NGSL,
atmosphere,57.08,1 - NGSL,
farmer,57.08,1 - NGSL,
comparison,57.07,1 - NGSL,
characteristic,57.07,1 - NGSL,
license,57.07,1 - NGSL,
rely,57.07,1 - NGSL,
narrow,57.07,1 - NGSL,
succeed,57.06,1 - NGSL,
identity,57.06,1 - NGSL,
desk,57.05,1 - NGSL,
permit,57.04,1 - NGSL,
seriously,57.04,1 - NGSL,
wild,57.03,1 - NGSL,
empty,57.03,1 - NGSL,
commission,57.02,1 - NGSL,
unique,57.02,1 - NGSL,
association,57.01,1 - NGSL,
instrument,57.01,1 - NGSL,
investor,57.01,1 - NGSL,
practical,57.01,1 - NGSL,
tea,57.00,1 - NGSL,
lovely,56.99,1 - NGSL,
soft,56.99,1 - NGSL,
row,56.99,1 - NGSL,
youth,56.99,1 - NGSL,
lock,56.98,1 - NGSL,
fuel,56.98,1 - NGSL,
expectation,56.98,1 - NGSL,
employment,56.98,1 - NGSL,
celebrate,56.97,1 - NGSL,
sexual,56.97,1 - NGSL,
shoulder,56.96,1 - NGSL,
breath,56.96,1 - NGSL,
increasingly,56.96,1 - NGSL,
import,56.95,1 - NGSL,
bottle,56.95,1 - NGSL,
ourselves,56.95,1 - NGSL,
sheet,56.94,1 - NGSL,
engine,56.94,1 - NGSL,
cast,56.93,1 - NGSL,
notion,56.93,1 - NGSL,
conservative,56.93,1 - NGSL,
journey,56.92,1 - NGSL,
opposition,56.92,1 - NGSL,
relief,56.92,1 - NGSL,
debt,56.92,1 - NGSL,
honor,56.91,1 - NGSL,
outcome,56.89,1 - NGSL,
blame,56.89,1 - NGSL,
explanation,56.89,1 - NGSL,
arise,56.89,1 - NGSL,
musical,56.88,1 - NGSL,
recover,56.87,1 - NGSL,
dad,56.87,1 - NGSL,
stretch,56.87,1 - NGSL,
declare,56.86,1 - NGSL,
retire,56.86,1 - NGSL,
tiny,56.85,1 - NGSL,
careful,56.84,1 - NGSL,
suitable,56.84,1 - NGSL,
native,56.84,1 - NGSL,
fruit,56.84,1 - NGSL,
analyze,56.83,1 - NGSL,
witness,56.83,1 - NGSL,
mail,56.83,1 - NGSL,
terrible,56.83,1 - NGSL,
researcher,56.82,1 - NGSL,
ordinary,56.80,1 - NGSL,
selection,56.78,1 - NGSL,
anywhere,56.78,1 - NGSL,
mental,56.78,1 - NGSL,
participant,56.77,1 - NGSL,
vision,56.76,1 - NGSL,
personality,56.76,1 - NGSL,
specifically,56.76,1 - NGSL,
fat,56.75,1 - NGSL,
entry,56.75,1 - NGSL,
fellow,56.75,1 - NGSL,
chemical,56.75,1 - NGSL,
capture,56.75,1 - NGSL,
tip,56.74,1 - NGSL,
discount,56.74,1 - NGSL,
peak,56.74,1 - NGSL,
chairman,56.73,1 - NGSL,
proportion,56.73,1 - NGSL,
ear,56.72,1 - NGSL,
disappear,56.71,1 - NGSL,
shout,56.71,1 - NGSL,
yard,56.71,1 - NGSL,
constant,56.71,1 - NGSL,
significantly,56.69,1 - NGSL,
hill,56.67,1 - NGSL,
considerable,56.67,1 - NGSL,
instruction,56.67,1 - NGSL,
intelligence,56.67,1 - NGSL,
ideal,56.66,1 - NGSL,
folk,56.66,1 - NGSL,
surely,56.66,1 - NGSL,
guard,56.66,1 - NGSL,
cat,56.65,1 - NGSL,
somewhat,56.65,1 - NGSL,
kiss,56.64,1 - NGSL,
presentation,56.64,1 - NGSL,
joint,56.64,1 - NGSL,
compete,56.64,1 - NGSL,
poll,56.64,1 - NGSL,
weak,56.63,1 - NGSL,
faith,56.63,1 - NGSL,
reduction,56.62,1 - NGSL,
reserve,56.61,1 - NGSL,
complaint,56.61,1 - NGSL,
bore,56.60,1 - NGSL,
mission,56.60,1 - NGSL,
somehow,56.59,1 - NGSL,
tone,56.59,1 - NGSL,
neighborhood,56.59,1 - NGSL,
passenger,56.59,1 - NGSL,
justice,56.58,1 - NGSL,
phase,56.58,1 - NGSL,
thin,56.58,1 - NGSL,
rush,56.58,1 - NGSL,
formal,56.57,1 - NGSL,
religion,56.57,1 - NGSL,
employer,56.57,1 - NGSL,
reject,56.56,1 - NGSL,
latter,56.56,1 - NGSL,
plate,56.56,1 - NGSL,
ban,56.55,1 - NGSL,
steal,56.55,1 - NGSL,
protest,56.55,1 - NGSL,
index,56.55,1 - NGSL,
sad,56.54,1 - NGSL,
frequently,56.54,1 - NGSL,
circle,56.54,1 - NGSL,
helpful,56.53,1 - NGSL,
command,56.53,1 - NGSL,
attractive,56.52,1 - NGSL,
sick,56.52,1 - NGSL,
impression,56.51,1 - NGSL,
unable,56.51,1 - NGSL,
joke,56.51,1 - NGSL,
sky,56.51,1 - NGSL,
column,56.51,1 - NGSL,
electronic,56.51,1 - NGSL,
impose,56.50,1 - NGSL,
criminal,56.49,1 - NGSL,
besides,56.47,1 - NGSL,
properly,56.46,1 - NGSL,
ancient,56.46,1 - NGSL,
coast,56.45,1 - NGSL,
ill,56.45,1 - NGSL,
kick,56.45,1 - NGSL,
closely,56.45,1 - NGSL,
multiple,56.45,1 - NGSL,
yield,56.44,1 - NGSL,
via,56.44,1 - NGSL,
legislation,56.44,1 - NGSL,
county,56.43,1 - NGSL,
unlike,56.42,1 - NGSL,
mobile,56.42,1 - NGSL,
assistant,56.42,1 - NGSL,
implement,56.41,1 - NGSL,
chart,56.41,1 - NGSL,
attach,56.40,1 - NGSL,
hell,56.40,1 - NGSL,
everywhere,56.39,1 - NGSL,
advise,56.39,1 - NGSL,
household,56.39,1 - NGSL,
acknowledge,56.39,1 - NGSL,
reward,56.38,1 - NGSL,
east,56.38,1 - NGSL,
hat,56.38,1 - NGSL,
academic,56.37,1 - NGSL,
voter,56.37,1 - NGSL,
meanwhile,56.36,1 - NGSL,
furthermore,56.36,1 - NGSL,
